Folio,Sector al que pertenece la empresa,Productos o servicios que produce o comercializa,Número de empleados,Entidad Federativa,Ciudad o Municipio,1. ¿Usted importa o utiliza alguno de los siguientes productos que sabe vienen del extranjero?,2. ¿Cómo adquiere las materias primas o productos que provienen del extranjero?,3. Si el peso se devaluará o su proveedor le subiera los precios ¿Cuál de las siguientes expresiones se acercaría más a la conducta que tomaría? ,4. Suponga que el tipo de cambio está hoy en 20.00 pesos por dólar o que usted compra materia prima a su proveedor a un costo de 20.00 por pieza ¿Cuánto debería devaluarse el peso o cuánto deberían subirle el precio sus proveedores para que usted decida subir sus precios?,5. Una vez que la devaluación o el aumento del precio de sus proveedores ha afectado sus costos ¿Cuánto tiempo tendría que pasar para que usted decida subir sus precios?,6. Una vez que usted decide subir sus precios ¿en qué porcentaje decide subirlos?,7. Si usted sube sus precios en un 10% como consecuencia de la devaluación o de que sus proveedores subieron sus precios ¿considera que sus ventas? ,8. Si usted sube sus precios por la devaluación o porque los proveedores le subieron precios ¿cuánto tiempo considera que tendría que pasar para que se vea reflejada una caída en sus ventas?,9. ¿Ha tenido que sacrificar ganancia ofreciendo precios más bajos a cambio de seguir vendiendo?,10. Cuando tiene que bajar sus precios para no perder ventas ¿utiliza alguna de las siguientes estrategias para aumentar sus ventas?,11. Del 1 al 4 qué capacidad considera que tiene su negocio para influir en el precio de los productos de la industria a la que pertenece. ,12. ¿Cuál de las siguientes expresiones se asemeja a su forma de actuar?,"13. Considerando el potencial que tiene su negocio para producir (agroindustria y sector industrial) o generar ventas (sector servicios y comercio), usando al máximo su maquinaria, mobiliario y equipo y siendo eficiente su personal en lo más posible ¿qué porcentaje en promedio de su capacidad ha utilizado en el último año?",14. En qué porcentaje promedio considera que ha ocupado el potencial de Maquinaria y Equipo de su empresa,15. ¿En qué porcentaje promedio considera que ha ocupado el potencial del personal de su empresa?,16. ¿Cuál es la razón del por qué no utiliza toda su capacidad?,17. Usted estaría dispuesto a subir los salarios de su personal solo si:,18. La razón del por qué no invierto más en mi negocio es:,19. Cuál de las siguientes expresiones se acerca más a usted:
1,Servicios,Renta de inmuebles ,MICRO,Ciudad de México,Iztapalapa ,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 6 y 12 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,No,No ha usado ninguna estrategia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,menos del 25%,100%-75%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
2,Comercio al por menor,Molde horneables de papel para la panificación de importación,MICRO,Estado de México,Toluca ,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos",15% pasar de 20.00 a 23,Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,Sí,Ofrece crédito,1,Si no tengo inventarios y hay un aumento temporal de la demanda subo mis precios,24%-0%,menos del 25%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
3,Comercio al por menor,Venta de ropa ,MICRO,Jalisco,Puerto Vallarta ,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Menos de un 5% (pasar de 20.00 a menos de 21),Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,4,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,24%-0%,menos del 25%,menos del 25%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,SR
4,Comercio al por menor,Artesanías ,MICRO,Ciudad de México,Cdmx ,Todo lo que utilizo se produce en México,SR,Solo si mi competencia los sube yo también los subiré,Más del 15% (pasar de 20.00 a más de 23),Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,Sí,No ha usado ninguna estrategia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,SR,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Si el salario mínimo aumenta,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
5,Comercio al por menor,"Abarrotes, vinos y licores",MICRO,Hidalgo,Pachuca,Productos finales,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,No,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,SR,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
6,Servicios,Jardinería y diseño ,MICRO,Guanajuato,Irapuato ,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Más del 15% (pasar de 20.00 a más de 23),Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Mejora sus estrategias de publicidad,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",24%-0%,menos del 25%,menos del 25%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
7,Servicios,productos de salus,MICRO,Hidalgo,mineral de la reforma,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas","5%, es decir pasar de 20.00 a 21",De inmediato,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",24%-0%,menos del 25%,menos del 25%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
8,Agricola/Ganadera,Flores ,MICRO,Ciudad de México,Venustiano Carranza ,Todo lo que utilizo se produce en México,SR,Solo si mi competencia los sube yo también los subiré,15% pasar de 20.00 a 23,Más de 3 y menos de 6 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Más de 6 meses,Sí,Mejora sus estrategias de publicidad,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,24%-0%,menos del 25%,menos del 25%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
9,Comercio al por menor,Regalos,MICRO,Estado de México,SR,Productos finales,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",15% pasar de 20.00 a 23,De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,24%-0%,menos del 25%,menos del 25%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,SR
10,Comercio al por mayor,comercializo bolsas de regalo,MICRO,Querétaro,Queretaro,Todo lo que utilizo se produce en México,SR,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,24%-0%,menos del 25%,49%-25%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
